3,0,0,0,0,0.500000000,3,0.000264594,1,317.004556875,317.004556875,198.583365341,1,0,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
4,0,0,0,0,0.500000000,3,0.001497429,1,513.087062544,514.491992961,199.988295758,4,0,6,106.007073476,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
15,0,0,0,0,0.500000000,2,30.000389712,0,2390.444282045,2393.708122803,306.353742701,67780,0,135558,1634777.749111306,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
5,0,0,0,0,0.500000000,3,0.001734634,1,600.459682699,601.864613117,199.988295758,4,0,6,106.007073476,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
6,0,0,0,0,0.500000000,3,0.001628655,1,712.021759752,713.426690169,199.988295758,4,0,6,106.007073476,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
7,0,0,0,0,0.500000000,3,0.004959252,1,904.059079169,906.868940003,199.988295758,11,0,20,354.427113711,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
16,0,0,0,0,0.500000000,2,30.000428273,0,2552.552091218,2555.808942265,306.334117830,66965,0,133928,1615827.500225234,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
8,0,0,0,0,0.500000000,3,0.654441724,1,1151.379011898,1155.327810149,248.458870146,1859,0,3552,3725.407497283,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
9,0,0,0,0,0.500000000,3,0.667259018,1,1252.947896844,1256.896695095,248.458870146,1859,0,3552,3725.407497283,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
18,0,0,0,0,0.500000000,2,30.000203047,0,2826.794010474,2829.770420622,306.353742701,61082,0,122162,1137255.620890344,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
